noun,h_adj,h_verb,h_adj_norm,h_verb_norm,delta,ratio,tau_entropy,variety_adj,variety_verb
brochure,5.274462302239922,4.428995527160328,0.8367141106176901,0.9537322746799317,0.8454667750795934,1.19089357166763,1.8164294469115496,79,25
utilisation,0.0,0.0,0.0,0.0,0.0,,6.0,1,1
etiquette,4.847735614719129,4.004886164091841,0.7449121987922959,0.960421629335447,0.8428494506272877,1.2104552828952666,2.275439006038521,91,18
sub,6.72831282870057,5.805705882938098,0.8358309833245009,0.9472079959250846,0.9226069457624719,1.158913827941895,1.8208450833774954,265,70
razna,0.0,0.0,0.0,0.0,0.0,,6.0,1,1
terrazzo,1.974937501201927,0.0,0.9874687506009635,0.0,1.974937501201927,,1.0626562469951826,4,1
owl,6.625775082528644,5.266914520155992,0.8208890514394891,0.9706335312135255,1.3588605623726524,1.2579993575313249,1.8955547428025545,269,43
picture,7.845642757121356,6.152403519358431,0.744359340645807,0.696035940210292,1.6932392377629242,1.275215894476878,2.278203296770965,1489,458
torpor,4.878135185928406,2.2516291673878226,0.9670408517859441,0.9697238998682473,2.6265060185405837,2.1664913816992635,1.1647957410702794,33,5
armoury,4.410325961442907,2.0,0.961911021245914,1.0,2.410325961442907,2.2051629807214534,1.19044489377043,24,4
whippoorwill,2.8010027798611175,0.0,0.9977373212960793,0.0,2.8010027798611175,,1.0113133935196035,7,1
presiding,2.0985864121084328,0.0,0.8118440447484119,0.0,2.0985864121084328,,1.9407797762579406,6,1
snowboard,1.8585552118703144,2.0,0.9292776059351572,1.0,-0.14144478812968564,0.9292776059351572,1.3536119703242142,4,4
psi,3.540245752446952,2.75,0.9298439007975913,0.979569764547061,0.7902457524469519,1.2873620917988917,1.3507804960120438,14,7
snorting,3.3423709931771093,1.0,0.9661618906326874,1.0,2.3423709931771093,3.3423709931771093,1.1691905468365629,11,2
stoneworker,0.0,0.0,0.0,0.0,0.0,,6.0,1,1
warlord,6.233178170082511,3.5465935642949384,0.8862225645635117,0.9892972558517699,2.686584605787573,1.7575112730239404,1.5688871771824418,131,12
ululation,4.8277427928234795,2.725480556997868,0.9412120128436419,0.9708357627258161,2.1022622358256116,1.7713363540341176,1.2939399357817907,35,7
destruct,3.089889603490046,2.584962500721156,0.9747516430464915,1.0,0.5049271027688897,1.1953324671549488,1.1262417847675423,9,6
quantum,3.4401204074720737,2.5,0.9595973198548253,0.967132018086354,0.9401204074720737,1.3760481629888295,1.2020134007258734,12,6
